City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind_Speed,date
Samfya,ZM,-11.3649,29.5565,16.41,45,0,2.92,1630898874
Auki,SB,-8.7676,160.7034,27.05,81,97,0.7,1630898875
Mogwase,ZA,-25.185,27.2665,17.51,39,53,1.36,1630898875
Port Elizabeth,ZA,-33.918,25.5701,13.16,82,20,7.2,1630898875
Cidreira,BR,-30.1811,-50.2056,15.66,93,100,3.38,1630898876
Mount Gambier,AU,-37.8333,140.7667,14.95,58,75,5.14,1630898876
Lompoc,US,34.6391,-120.4579,15.88,90,1,2.06,1630898877
Pisco,PE,-13.7,-76.2167,16.03,77,82,1.03,1630898877
Zhaotong,CN,27.3167,103.7167,16.84,91,100,3.63,1630898877
Båtsfjord,NO,70.6345,29.7185,4.89,87,100,1.4,1630898878
Pouembout,NC,-21.1333,164.9,25.46,56,7,4.62,1630898878
Codrington,AU,-38.2667,141.9667,13.95,57,6,4.91,1630898879
St. George's,GD,12.0564,-61.7485,25.82,83,20,0.0,1630898685
Yanam,IN,16.7333,82.2167,27.22,96,100,3.55,1630898879
Tahoua,NE,14.8888,5.2692,26.52,64,83,3.24,1630898880
Mossamedes,AO,-15.1961,12.1522,15.64,88,1,1.11,1630898880
Lata,PT,40.1629,-8.3327,19.89,64,100,1.59,1630898880
Nanortalik,GL,60.1432,-45.2371,5.5,72,0,4.97,1630898881
Jamestown,US,42.097,-79.2353,15.4,91,1,2.21,1630898660
Vaini,TO,-21.2,-175.2,23.09,94,90,2.57,1630898881
Camacha,PT,33.0833,-16.3333,22.67,83,40,7.72,1630898882
Souillac,MU,-20.5167,57.5167,21.21,73,20,7.2,1630898882
Grindavik,IS,63.8424,-22.4338,9.26,93,90,7.2,1630898689
Sinnamary,GF,5.3833,-52.95,25.97,84,76,4.72,1630898882
Kremenki,RU,54.885,37.1261,2.5,91,86,2.31,1630898883
Puerto del Rosario,ES,28.5004,-13.8627,23.86,88,0,3.09,1630898883
Tasiilaq,GL,65.6145,-37.6368,4.09,98,100,1.73,1630898884
Tuy Hoa,VN,13.0833,109.3,29.89,68,100,1.58,1630898860
Banjarmasin,ID,-3.3244,114.591,28.08,61,63,3.21,1630898884
Yellowknife,CA,62.456,-114.3525,14.29,94,75,1.54,1630898653
Dingle,PH,10.9995,122.6711,30.34,69,85,0.58,1630898885
Nabire,ID,-3.3667,135.4833,29.47,69,41,1.36,1630898885
Severo-Kuril'sk,RU,50.6789,156.125,13.31,80,96,7.13,1630898886
Pangkalanbuun,ID,-2.6833,111.6167,28.37,75,80,1.88,1630898886
Ughelli,NG,5.4899,6.0074,23.12,96,100,0.84,1630898886
Pueblo,US,38.2545,-104.6091,23.28,33,1,2.06,1630898609
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,15.33,59,75,4.0,1630898601
Oktyabr'skiy,RU,54.4815,53.471,8.79,70,99,1.75,1630898887
Esso,RU,55.9333,158.7,10.41,85,100,1.63,1630898888
Entre Rios,BR,-11.9419,-38.0844,19.33,95,5,1.49,1630898888
João Pinheiro,BR,-17.7425,-46.1725,23.13,30,0,0.77,1630898888
Coquimbo,CL,-29.9533,-71.3436,10.85,87,0,3.6,1630898889
Terracina,IT,41.2863,13.2217,18.97,73,0,2.01,1630898889
George Town,MY,5.4112,100.3354,29.97,66,20,1.54,1630898597
Kimbe,PG,-5.5502,150.1429,29.44,77,32,1.86,1630898890
Sydney,AU,-33.8679,151.2073,18.25,45,4,2.24,1630898459
Dolores,AR,-36.3132,-57.6792,7.82,88,94,3.33,1630898890
Nautla,MX,20.2167,-96.7833,25.45,87,100,1.45,1630898891
Maués,BR,-3.3836,-57.7186,22.07,98,74,1.39,1630898891
Pitimbu,BR,-7.4706,-34.8086,23.33,77,31,3.98,1630898891
Mogadishu,SO,2.0371,45.3438,25.19,78,11,6.64,1630898892
Najrān,SA,17.4924,44.1277,23.36,23,28,1.85,1630898892
Sorong,ID,-0.8833,131.25,28.16,78,100,4.86,1630898893
Karasjok,NO,69.4719,25.5112,9.06,89,100,3.8,1630898893
Lincoln,US,40.8,-96.667,21.38,74,1,0.89,1630898729
Palmer,US,42.1584,-72.3287,19.18,86,90,1.54,1630898894
Hay River,CA,60.8156,-115.7999,15.99,88,75,1.03,1630898894
Flin Flon,CA,54.7682,-101.865,11.81,75,87,3.45,1630898894
Mackay,AU,-21.15,149.2,22.99,49,54,6.69,1630898895
Tūkrah,LY,32.5341,20.5791,24.27,72,0,4.06,1630898895
Turbat,PK,26.0023,63.044,28.49,67,13,0.61,1630898762
Valdivia,CL,-39.8142,-73.2459,5.02,99,36,0.75,1630898896
Kushiro,JP,42.975,144.3747,18.53,68,75,4.12,1630898896
Lüderitz,NA,-26.6481,15.1594,12.48,79,18,9.17,1630898896
Matagami,CA,49.7502,-77.6328,12.06,100,1,2.57,1630898897
Bathsheba,BB,13.2167,-59.5167,24.34,94,20,1.54,1630898897
Neuquén,AR,-38.9516,-68.0591,12.94,62,40,2.06,1630898897
Krasnohrad,UA,49.3814,35.4402,5.49,79,7,2.68,1630898898
Progreso,MX,21.2833,-89.6667,23.95,89,100,6.52,1630898898
Matonga,TZ,-2.3833,34.0833,19.74,53,24,2.38,1630898899
Nouadhibou,MR,20.931,-17.0347,23.99,73,0,4.63,1630898899
Gūdūr,IN,14.1333,79.85,27.62,63,100,6.64,1630898899
Flinders,AU,-34.5833,150.8552,17.61,47,6,8.8,1630898900
Fortuna,US,40.5982,-124.1573,14.98,69,1,0.0,1630898900
Saskylakh,RU,71.9167,114.0833,16.14,64,100,5.19,1630898901
Tazovsky,RU,67.4667,78.7,10.31,82,100,5.58,1630898901
Agüimes,ES,27.9054,-15.4461,21.26,78,0,2.06,1630898901
Aksay,RU,47.26,39.87,4.19,50,0,3.07,1630898902
Dehlorān,IR,32.6941,47.2679,32.07,10,0,3.57,1630898902
El Rusio,HN,14.4667,-86.3667,20.51,95,100,0.66,1630898903
Banda Aceh,ID,5.5577,95.3222,29.28,62,23,2.94,1630898903
Bengkulu,ID,-3.8004,102.2655,28.61,67,90,0.88,1630898903
Richards Bay,ZA,-28.783,32.0377,20.34,87,100,6.01,1630898904
Tual,ID,-5.6667,132.75,27.04,80,100,9.9,1630898904
Wajir,KE,1.7471,40.0573,22.38,77,2,4.69,1630898904
Houma,US,29.5958,-90.7195,26.7,88,3,1.67,1630898906
Bambous Virieux,MU,-20.3428,57.7575,21.14,73,20,7.2,1630898906
Yar-Sale,RU,66.8333,70.8333,9.99,57,42,6.29,1630898907
Omboué,GA,-1.5746,9.2618,23.53,82,100,3.46,1630898907
Kruisfontein,ZA,-34.0033,24.7314,11.05,74,100,5.93,1630898907
Vila Franca do Campo,PT,37.7167,-25.4333,20.23,84,64,5.17,1630898908
Sosnovo-Ozerskoye,RU,52.5249,111.5418,8.29,54,64,2.97,1630898908
Beringovskiy,RU,63.05,179.3167,6.1,76,100,5.61,1630898909
Abong Mbang,CM,3.9833,13.1833,18.64,99,85,1.8,1630898909
Filingué,NE,14.3521,3.3168,26.89,62,100,3.06,1630898910
Yenagoa,NG,4.9247,6.2642,23.54,96,100,1.21,1630898910
Margate,GB,51.3813,1.3862,13.5,97,22,2.17,1630898910
Tarboro,US,35.8968,-77.5358,21.99,78,1,2.06,1630898911
Daru,PG,-9.0763,143.2092,26.48,76,100,7.48,1630898911
Portland,US,45.5234,-122.6762,22.16,67,20,0.89,1630898912
Vao,NC,-22.6667,167.4833,21.36,76,12,5.57,1630898912
Loveland,US,40.3978,-105.075,19.55,33,1,1.79,1630898912
Airai,TL,-8.9266,125.4092,24.36,44,100,2.91,1630898913
Atar,MR,20.5169,-13.0499,31.71,41,11,3.96,1630898913
Port Lincoln,AU,-34.7333,135.8667,16.13,62,38,1.98,1630898913
Butembo,CD,0.15,29.2833,13.06,96,47,0.72,1630898914
Provideniya,RU,64.3833,-173.3,4.06,70,90,5.0,1630898914
Envira,BR,-7.3,-70.2167,21.81,98,99,1.3,1630898915
Sargūr,IN,11.9833,76.4167,23.32,93,100,4.09,1630898915
Oruzgan,AF,32.8333,66.0,24.45,11,1,3.07,1630898915
Arraial do Cabo,BR,-22.9661,-42.0278,21.74,92,46,0.27,1630898916
Gediz,TR,39.0417,29.41,14.02,87,44,3.66,1630898916
Prince Rupert,CA,54.3161,-130.3201,12.94,91,90,5.14,1630898916
Sakakah,SA,29.9697,40.2064,27.76,17,6,2.11,1630898917
Salisbury,GB,51.0693,-1.7957,14.12,95,20,1.54,1630898917
Ulaanbaatar,MN,47.9077,106.8832,14.07,44,40,4.0,1630898918
Ketchikan,US,55.3422,-131.6461,13.26,94,90,0.0,1630898918
Black River,JM,18.0264,-77.8487,28.0,80,71,1.04,1630898918
Zhumadian,CN,32.9794,114.0294,20.67,89,100,4.9,1630898919
Gazli,UZ,40.1333,63.45,24.04,19,0,7.95,1630898919
Jalu,LY,29.0331,21.5482,28.48,37,0,3.34,1630898920
Puerto Ayora,EC,-0.7393,-90.3518,19.87,80,39,3.96,1630898920
Warrnambool,AU,-38.3833,142.4833,14.34,61,6,5.73,1630898920
Dakar,SN,14.6937,-17.4441,25.49,81,15,4.58,1630898893
São Félix do Xingu,BR,-6.6447,-51.995,22.73,87,33,0.68,1630898921
Manaure,CO,11.7751,-72.4445,28.79,71,100,4.35,1630898921
Thompson,CA,55.7435,-97.8558,12.09,82,90,1.54,1630898922
Faanui,PF,-16.4833,-151.75,26.01,71,6,5.49,1630898922
Laas,IT,46.6166,10.7002,13.76,88,44,0.85,1630898922
Tateyama,JP,34.9833,139.8667,20.15,73,93,7.32,1630898923
Yalí,CO,6.6746,-74.8343,16.91,99,99,1.35,1630898923
Lilongwe,MW,-13.9669,33.7873,17.66,50,0,0.86,1630898923
Ossora,RU,59.2353,163.0719,9.71,75,100,6.05,1630898924
San Cristobal,VE,7.7669,-72.225,19.31,96,97,0.72,1630898924
Kapit,MY,2.0167,112.9333,30.92,64,73,0.58,1630898925
Tambura,SS,5.6,27.4667,19.34,92,84,0.6,1630898925
Goderich,CA,43.7501,-81.7165,20.09,68,8,5.14,1630898926
Tulun,RU,54.5611,100.5792,8.88,53,99,1.48,1630898926
Coldwater,US,41.9403,-85.0005,16.59,68,75,2.57,1630898926
Klaksvík,FO,62.2266,-6.589,11.51,90,100,6.48,1630898927
Twentynine Palms,US,34.1356,-116.0542,34.74,15,0,0.24,1630898927
Bredasdorp,ZA,-34.5322,20.0403,7.62,81,59,1.54,1630898927
Lakes Entrance,AU,-37.8811,147.981,16.2,57,2,6.58,1630898928
Vengerovo,RU,55.6848,76.7471,17.06,51,0,4.74,1630898928
Upernavik,GL,72.7868,-56.1549,1.77,99,100,7.99,1630898928
Kahului,US,20.8947,-156.47,30.01,48,40,10.29,1630898929
Saint Paul Harbor,US,57.79,-152.4072,14.73,88,90,3.6,1630898929
Vágur,FO,61.4732,-6.8119,12.17,95,100,6.92,1630898930
Staryy Nadym,RU,65.6118,72.6842,12.41,49,99,6.45,1630898930
Taoudenni,ML,22.6783,-3.9836,35.29,12,0,3.64,1630898930
Kutum,SD,14.2,24.6667,20.95,76,100,5.64,1630898931
Jardim,BR,-21.4803,-56.1381,26.86,54,45,1.57,1630898931
Pedasí,PA,7.5333,-80.0333,26.49,82,94,2.44,1630898932
Misratah,LY,32.3754,15.0925,26.87,79,2,4.54,1630898932
Tuktoyaktuk,CA,69.4541,-133.0374,8.0,93,90,3.6,1630898932
Kavaratti,IN,10.5669,72.642,27.25,77,100,7.54,1630898933
Calamar,CO,10.2511,-74.9146,26.97,84,90,2.21,1630898933
Manokwari,ID,-0.8667,134.0833,28.7,68,74,2.16,1630898933
Tricase,IT,39.9304,18.3553,19.62,75,7,4.47,1630898934
Antofagasta,CL,-23.65,-70.4,14.6,83,51,3.45,1630898934
Tabas,IR,33.5959,56.9244,26.88,19,0,2.1,1630898934
Biltine,TD,14.5333,20.9167,25.12,75,100,1.58,1630898935
Kathu,TH,7.9178,98.3332,29.9,65,85,1.13,1630898935
Maunabo,PR,18.0072,-65.8993,27.33,94,19,4.66,1630898936
Cabedelo,BR,-6.9811,-34.8339,23.37,77,38,4.64,1630898897
Ambulu,ID,-8.345,113.6058,30.4,56,89,3.93,1630898936
Nemuro,JP,43.3236,145.575,19.24,67,0,2.19,1630898937
Ukiah,US,39.1502,-123.2078,22.89,19,1,1.54,1630898937
Laguna,US,38.421,-121.4238,28.75,26,1,0.45,1630898937
West Fargo,US,46.875,-96.9004,15.78,72,1,0.0,1630898938
Culpeper,US,38.5004,-77.9664,21.46,93,90,0.45,1630898938
Sambava,MG,-14.2667,50.1667,19.78,75,82,4.84,1630898938
Garissa,KE,-0.4536,39.6401,22.45,83,45,6.4,1630898939
Middle Island,US,40.8843,-72.9373,21.19,90,90,0.45,1630898939
Port Hedland,AU,-20.3167,118.5667,31.03,13,0,10.29,1630898940
Qeshm,IR,26.9581,56.2719,30.93,76,20,3.53,1630898940
Pangnirtung,CA,66.1451,-65.7125,5.71,68,97,0.87,1630898940
Avera,US,33.194,-82.5271,19.72,42,68,2.45,1630898941
Esim,GH,4.8699,-2.2405,23.78,92,48,3.75,1630898941
Seminole,US,28.7086,-81.2081,25.15,93,90,3.09,1630898938
Abu Samrah,SY,35.3029,37.1841,21.07,74,0,2.77,1630898941
Jiuquan,CN,39.7432,98.5174,22.4,18,0,0.95,1630898942
Rudnichnyy,RU,59.617,52.4703,4.04,92,100,3.5,1630898942
La Rioja,ES,42.25,-2.5,16.94,49,96,3.1,1630898943
Moen,NO,69.1304,18.6123,9.4,93,90,0.0,1630898943
Bintulu,MY,3.1667,113.0333,31.23,70,40,2.06,1630898943
Kortkeros,RU,61.8106,51.5806,5.0,94,100,4.44,1630898944
Namatanai,PG,-3.6667,152.4333,28.91,72,35,3.92,1630898944
São João da Barra,BR,-21.6403,-41.0511,22.41,95,8,6.06,1630898945
Waingapu,ID,-9.6567,120.2641,30.59,58,99,6.66,1630898945
Lubango,AO,-14.9172,13.4925,15.35,43,0,2.47,1630898945
Kasangulu,CD,-4.5911,15.1708,23.49,65,60,3.17,1630898946
Kavieng,PG,-2.5744,150.7967,29.38,71,33,5.66,1630898946
Ségou,ML,13.4317,-6.2157,25.18,75,98,3.23,1630898947
Praia da Vitória,PT,38.7333,-27.0667,20.14,83,75,6.91,1630898947
Samaná,DO,19.2056,-69.3369,26.47,83,1,3.54,1630898947
Talnakh,RU,69.4865,88.3972,13.7,63,85,9.18,1630898948
Rocha,UY,-34.4833,-54.3333,10.22,94,48,2.01,1630898726
Adrar,MR,20.5022,-10.0711,32.64,26,40,4.6,1630898948
Bukama,CD,-9.2,25.85,22.44,45,1,0.94,1630898949
Zorgo,BF,12.2489,-0.6158,23.07,81,100,1.61,1630898949
Ürümqi,CN,43.801,87.6005,27.53,18,0,3.0,1630898949
Waitati,NZ,-45.75,170.5667,14.73,50,97,4.58,1630898950
Mehamn,NO,71.0357,27.8492,5.97,100,75,1.54,1630898950
Mandalgovi,MN,45.7625,106.2708,15.38,45,0,4.57,1630898858
Mil'kovo,RU,54.7167,158.6167,12.22,81,100,3.46,1630898951
Barahan,PH,13.0121,120.762,29.36,70,99,2.56,1630898952
Valparaíso,CL,-33.0393,-71.6273,8.8,93,0,2.06,1630898952
Mankono,CI,8.0586,-6.1897,21.15,94,77,0.54,1630898952
Mercedes,AR,-34.6515,-59.4307,10.16,95,84,3.35,1630898953
Quatre Cocos,MU,-20.2078,57.7625,21.16,71,54,8.89,1630898953
Acarí,PE,-15.4311,-74.6158,17.39,79,95,1.69,1630898953
Longyearbyen,SJ,78.2186,15.6401,3.91,70,75,7.72,1630898954
Synya,RU,65.3718,58.0387,3.99,97,100,6.86,1630898954
Mahon,ES,39.8885,4.2658,22.31,100,0,0.51,1630898955
Asău,RO,46.4333,26.4,5.51,74,1,1.25,1630898955
Havre-St-Pierre,CA,50.2334,-63.5986,11.2,87,90,1.54,1630898955
Lexington,US,37.9887,-84.4777,18.84,89,75,0.0,1630898765
Troitskoye,RU,52.9821,84.6757,21.56,31,13,2.22,1630898956
Lebu,CL,-37.6167,-73.65,8.74,87,11,4.38,1630898956
Kamyshnya,UA,50.1859,33.684,4.28,82,6,2.72,1630898957
Carroll,US,39.5501,-77.0164,20.1,86,75,0.45,1630898957
Arica,CL,-18.475,-70.3042,14.94,83,69,0.53,1630898757
Nyeri,KE,-0.4201,36.9476,13.46,95,97,1.92,1630898958
Olafsvik,IS,64.8945,-23.7142,9.97,82,56,8.25,1630898958
Kaseda-shirakame,JP,31.4167,130.3167,29.57,84,100,2.21,1630898959
Khovd,MN,48.0056,91.6419,19.4,30,99,0.28,1630898959
Florida,US,28.7505,-82.5001,24.76,91,1,0.0,1630898960
Castilho,BR,-20.8722,-51.4875,25.94,33,0,2.15,1630898960
Guaraniaçu,BR,-25.1008,-52.8781,15.17,67,0,1.19,1630898960
Walvis Bay,NA,-22.9575,14.5053,9.53,100,100,3.09,1630898961
Bull Savanna,JM,17.8868,-77.5902,24.82,82,66,3.17,1630898962
Ware,GB,51.8126,-0.0283,13.72,95,73,1.03,1630898962
Ambilobe,MG,-13.2,49.05,17.99,71,9,1.79,1630898963
Saldanha,ZA,-33.0117,17.9442,10.03,53,100,5.49,1630898963
Qarchī Gak,AF,37.04,66.7889,23.05,17,0,2.13,1630898964
Coos Bay,US,43.3665,-124.2179,17.45,82,40,4.63,1630898932
Revelstoke,CA,50.9832,-118.2023,17.01,88,90,0.0,1630898964
Sítio Novo do Tocantins,BR,-5.5183,-47.4611,25.75,67,81,1.51,1630898964
Pajapan,MX,18.25,-94.7,24.64,89,100,2.42,1630898965
Nacogdoches,US,31.6002,-94.6335,26.29,82,75,0.0,1630898965
Yazman,PK,29.1212,71.7446,35.78,40,0,1.23,1630898965
Erenhot,CN,43.6475,111.9767,14.95,30,9,2.27,1630898966
Kumul,CN,42.8,93.45,27.18,15,1,2.69,1630898966
Huarmey,PE,-10.0681,-78.1522,16.96,90,28,3.32,1630898966
Bustamante,MX,26.5333,-100.5,28.95,36,90,3.22,1630898967
Sittwe,MM,20.15,92.9,27.41,82,100,9.5,1630898967
Gjirokastër,AL,40.0758,20.1389,20.01,86,98,2.14,1630898968
Churapcha,RU,62.0025,132.4325,14.57,40,36,1.13,1630898968
Prabumulih,ID,-3.45,104.25,29.68,63,99,1.58,1630898968
Harper,LR,4.375,-7.7169,24.63,81,99,4.26,1630898969
Darnah,LY,32.767,22.6367,23.88,84,0,3.66,1630898969
Teahupoo,PF,-17.8333,-149.2667,24.98,74,27,4.99,1630898970
Vigeland,NO,58.0844,7.305,13.77,83,94,1.42,1630898970
Sabha,LY,27.0377,14.4283,29.17,23,1,2.55,1630898970
Weihe,CN,32.9952,105.3247,18.9,63,100,3.83,1630898971
Port Blair,IN,11.6667,92.75,26.02,89,90,1.03,1630898971
Escanaba,US,45.7453,-87.0646,14.11,77,1,3.09,1630898971
Areia Branca,BR,-4.9561,-37.1369,24.61,74,4,7.32,1630898972
Tuatapere,NZ,-46.1333,167.6833,14.9,56,100,5.48,1630898972
Yangi Marg`ilon,UZ,40.4272,71.7189,25.38,29,0,3.09,1630898974
Evensk,RU,61.95,159.2333,10.73,35,30,5.27,1630898974
Puerto Madero,MX,14.7208,-92.4215,24.11,100,75,0.0,1630898974
Tynda,RU,55.1667,124.7167,15.86,94,100,2.46,1630898975
Tadine,NC,-21.55,167.8833,23.9,66,6,5.48,1630898975
Roald,NO,62.5833,6.1333,13.34,72,75,4.12,1630898975
Bud,US,39.447,-86.1758,16.63,85,8,2.16,1630898976
Paranhos,BR,-23.8928,-55.4311,22.56,60,44,2.0,1630898976
Devonport,AU,-41.1667,146.35,16.26,41,35,5.51,1630898977
Taree,AU,-31.9,152.4667,19.06,26,40,8.23,1630898767
Moa,CU,20.6569,-74.9403,26.8,84,72,2.92,1630898977
Shakawe,BW,-18.3667,21.85,18.3,35,52,0.4,1630898978
Pacific Grove,US,36.6177,-121.9166,15.18,87,1,0.89,1630898978
Suwałki,PL,54.1118,22.9309,5.02,86,81,2.12,1630898978
Egvekinot,RU,66.3167,-179.1667,1.16,94,100,3.24,1630898979
Clyde River,CA,70.4692,-68.5914,-0.36,81,100,3.2,1630898979
Grand Gaube,MU,-20.0064,57.6608,21.32,69,59,4.92,1630898980
Beyneu,KZ,45.3167,55.2,21.09,30,85,4.16,1630898980
Broome,US,42.2506,-75.833,17.14,96,85,1.71,1630898981
Los Llanos de Aridane,ES,28.6585,-17.9182,20.07,72,0,2.57,1630898981
Kousséri,CM,12.0769,15.0306,22.98,88,20,2.57,1630898981
Vestmannaeyjar,IS,63.4427,-20.2734,11.69,79,100,6.98,1630898982
Itarema,BR,-2.9248,-39.9167,25.54,84,64,6.43,1630898982
Novy Urengoy,RU,66.0833,76.6333,11.55,89,100,5.32,1630898982
Djibouti,DJ,11.5,42.5,29.68,51,18,1.39,1630898983
Samarai,PG,-10.6167,150.6667,26.25,70,93,6.53,1630898983
Pathein,MM,16.7833,94.7333,25.79,90,100,4.44,1630898984
Severnyy-Kospashskiy,RU,59.0925,57.8008,3.94,98,100,3.47,1630898984
São Raimundo Nonato,BR,-9.0153,-42.6994,27.26,43,50,1.37,1630898984
Nara,JP,34.6851,135.8049,28.63,52,71,2.63,1630898985
Cayenne,GF,4.9333,-52.3333,27.83,81,0,1.34,1630898985
